											Enter value for : ATTRIBUTE15	
	UC3000030015	Purchased item	原材料;電控外購件;控制類;PLC擴展;擴展IO模塊;AFPX-E30T;松下	0		EA	PYU		宋佳驥,jiaji.song	0		
	UC3000030016	Purchased item	原材料;電控外購件;控制類;PLC擴展;电源模块;AS-PS02;台達	0		EA	PYU		宋佳驥,jiaji.song	0		
	UC3000030017	Purchased item	原材料;電控外購件;控制類;PLC擴展;擴展IO模塊;型號:AFPX-IN4T3;品牌:松下	0		EA	PYU		孫明,	0		
	UC3000030018	Purchased item	原材料;電控外購件;控制類;PLC擴展;擴展IO模塊;型號:QG60;品牌:三菱	0		EA	PYU		胡龍飛,	0		
	UC3000030019	Purchased item	原材料;電控外購件;控制類;PLC擴展;擴展IO模塊;型號:QX40;品牌:三菱	0		EA	PYU		胡龍飛,	0		
	UC3000030020	Purchased item	原材料;電控外購件;控制類;PLC擴展;擴展IO模塊;型號:QY41P;品牌:三菱	0		EA	PYU		胡龍飛,	0		
	UC3000030021	Purchased item	原材料;電控外購件;控制類;PLC擴展;通訊模塊;型號:QJ71E71-100;品牌:三菱	0		EA	PYU		胡龍飛,	0		
	UC3000030022	Purchased item	原材料;電控外購件;控制類;PLC擴展;擴展IO模塊;型號:Q38B;品牌:三菱	0		EA	PYU		胡龍飛,	0		
	UC3000030023	Purchased item	原材料;電控外購件;控制類;PLC擴展;温度模块;型號:Q68TD-G-H01;品牌:三菱	0		EA	PYU		胡龍飛,	0		
	UC3000030024	Purchased item	原材料;電控外購件;控制類;PLC擴展;模擬量模塊;型號:Q68ADI;品牌:三菱	0		EA	PYU		胡龍飛,	0		
	UC3000030025	Purchased item	原材料;電控外購件;控制類;PLC擴展;电源模块;型號:Q63P;品牌:三菱	0		EA	PYU		胡龍飛,	0		
	UC3000030026	Purchased item	原材料;電控外購件;控制類;PLC擴展;冷补偿电阻;型號:PT100;品牌:三菱	0		EA	PYU		胡龍飛,	0		
	UC3000030030	Purchased item	原材料;電控外購件;控制類;PLC擴展;擴展IO模塊;型號:AS16AP11T-A;品牌:台達	0		EA	PYU		汪永恒,	257		
	UC3000030031	Purchased item	原材料;電控外購件;控制類;PLC擴展;模擬量模塊;型號:AFPORAD8;品牌:松下	0		EA	PYU		孫明,	0		
	UC3000030032	Purchased item	原材料;電控外購件;控制類;PLC擴展;擴展IO模塊;型號:AFP0HXY64D2T;品牌:松下	0		EA	PYU		胡龍飛,	0		
	UC3000030034	Purchased item	原材料;電控外購件;控制類;PLC擴展;通訊模塊;型號:FX5-CCL-MS;品牌:三菱	0		EA	PYU		何艷玲,	0		
	UC3000030035	Purchased item	原材料;電控外購件;控制類;PLC擴展;通訊模塊;型號:FX3U-16CCL-M;品牌:三菱	0		EA	PYU		史展翼,	0		
